taxa	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
X585063	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
X331234	2	37	5	0	0	0	0	3	0	0	0	18	36	27	28	0	0	0	0	5	1	0	1	0	0	0
X193229	1	20	0	0	0	0	0	0	3	1	4	5	1121	1584	1558	9	2	1	0	0	0	0	2	5	0	0
X568643	0	1	0	0	0	0	0	0	0	0	0	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0
X525816	0	1	1	0	0	0	0	0	1	4	8	227	7	2	3	0	1	0	0	0	0	0	0	0	2	0
X110305	3	50	9	1	0	0	1	0	2	0	2	3	283	413	426	2	0	2	0	4	3	0	2	1	0	1
X267662	0	2	4	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
X548945	0	0	0	0	0	0	0	0	0	9	478	0	4	3	2	0	0	0	0	1	0	0	0	0	0	0
X546222	1	2	26	2	13	0	3	1	68	736	53839	2975	36	14	157	10	7	9	17	3	3	4	2	13	13	35
X312041	0	0	0	0	0	0	0	0	0	2	107	7	0	0	2	0	0	1	0	0	0	0	0	0	0	0
X304085	0	0	0	0	0	0	0	0	1	1	55	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X160626	0	2	2	0	1	0	0	0	7	96	5492	489	6	0	18	0	2	1	2	0	1	0	0	1	0	1
X318920	0	0	5	0	1	0	1	0	9	130	11854	825	8	3	12	3	1	2	3	2	0	0	0	1	2	5
X578307	0	0	0	0	0	0	0	0	0	4	181	176	4	1	2	0	0	0	0	0	0	0	0	0	0	0
X235395	0	3	1	1	0	0	5	1	5	42	2790	9312	92	26	76	2	4	1	1	1	1	5	2	9	1	5
X105395	3	1	3	3	3	2	5	2	21	47	57	31674	491	91	346	5	17	10	2	5	3	6	5	15	8	4
X313857	1	3	5	6	12	1	12	10	49	177	5970	34688	570	98	353	10	30	18	5	11	6	7	7	13	7	12
X355132	4	2	3	3	2	0	4	1	10	107	7605	16778	220	51	180	5	10	7	6	1	2	2	0	5	7	5
X252398	5	8	11	5	3	3	10	4	54	300	20504	47208	548	99	413	18	28	18	16	14	2	10	5	20	7	7
X350893	0	0	2	0	2	0	1	1	8	42	2896	1300	36	5	24	0	0	1	1	2	0	0	1	1	0	0
X351161	0	1	6	0	5	1	3	3	22	197	14264	8874	116	22	114	5	7	4	2	2	2	6	4	4	1	3
X331093	2	3	5	3	4	0	7	3	30	196	13214	21764	296	49	222	9	15	9	8	4	3	3	2	9	6	10
X317658	15	19	45	13	21	9	31	23	206	1351	92241	136344	1675	307	1281	40	61	65	50	23	11	21	19	68	24	61
X152835	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X245928	0	0	0	0	0	0	0	0	0	0	9	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X249078	0	1	0	0	0	0	1	0	1	17	650	1197	10	3	10	0	0	1	1	1	0	0	1	1	0	0
X123714	0	0	0	0	0	0	0	0	0	1	31	262	3	0	6	0	0	1	0	0	0	0	0	0	0	0
X329744	21	23	67	28	45	15	64	29	296	1474	102525	323914	3542	695	2908	91	126	120	83	51	28	52	48	129	66	99
X104500	0	0	0	0	0	0	0	0	0	4	254	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X581541	0	0	2	2	0	0	2	1	22	48	1509	2755	98	22	63	1	10	2	0	3	1	1	1	5	1	1
X233361	1	2	0	0	0	0	1	0	0	1	3	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X323949	0	0	0	0	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0
X160337	62	25	88	0	0	0	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1
X104310	46	43	28	0	0	1	4	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
X406112	3	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X217413	0	36	62	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X11622	6	67	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X73544	21	231	42	0	0	0	4	0	0	1	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
X11621	55	176	511	0	0	5	19	18	0	1	49	2	7	2	2	0	0	0	0	2	0	0	0	1	0	2
X252713	17	24	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
X102993	2	131	52	0	0	1	4	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X240553	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X259094	0	28	20	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
X254635	25	113	643	0	0	9	8	4	0	0	0	0	14	15	11	0	0	0	0	0	0	0	0	0	0	6
X112323	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X552883	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X252888	9	269	0	0	0	0	0	0	0	0	0	66	8	13	16	0	0	0	0	0	0	0	0	0	0	0
X11620	8	34	30	0	0	1	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
X11492	0	5	8	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
X11544	8	30	45	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X236179	16	44	103	0	0	1	5	0	0	0	1	0	2	1	1	0	0	0	0	0	0	2	0	0	0	2
X11491	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X104265	58	316	2966	0	0	24	117	14	1	0	1	1	26	34	30	0	1	1	2	8	2	1	0	2	4	11
X250241	12	71	404	0	0	11	43	17	0	1	61	0	1	0	1	0	0	0	0	9	0	0	0	0	0	0
X144241	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X142506	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X379604	0	9	22	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X83120	2	8	39	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
X254610	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X85805	0	16	46	0	0	1	0	1	0	0	0	0	12	5	2	0	0	0	0	0	0	0	0	0	1	0
X543740	6	21	126	0	0	2	5	2	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	1
X223578	2	10	377	0	0	35	64	8	1	0	20	1	115	49	49	0	1	0	0	1	1	0	0	1	1	0
X83514	63	360	1880	0	0	44	204	126	0	1	2	0	9	6	6	0	0	1	2	8	3	0	0	0	1	6
X554377	58	228	1646	0	2	7	16	4	1	1	26	0	45	15	8	0	0	0	4	2	0	1	0	0	3	6
X574265	0	5	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
X246986	2	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X11451	106	219	232	0	0	1	0	0	0	0	7	1	72	80	82	3	0	0	0	0	0	0	1	0	1	1
X225724	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X253651	2	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X214812	3	4	4	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
X137991	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X575392	1	10	3	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X11428	8	18	1490	1	0	1	12	6	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	6
X139937	0	22	450	0	0	10	4	4	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	1
X353538	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X575032	0	3	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
X225825	22	186	1413	0	1	1	10	9	1	0	1	0	1	1	0	0	1	0	0	6	1	0	0	0	2	7
X218165	16	1	39	0	0	0	8	0	0	2	5	5	5	0	0	0	1	0	0	1	0	0	0	0	0	0
X248801	1	11	119	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X11441	17	78	2997	0	0	8	14	5	0	0	0	1	0	1	2	0	0	0	0	2	0	0	0	1	0	4
X11435	4	2	14	0	0	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	2	0	0	0
X266111	2	8	18	0	0	1	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X223418	33	853	1941	1	1	28	113	35	1	0	1	0	1	1	0	0	0	0	1	4	3	0	0	1	5	4
X220439	4	25	65	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
X383931	8	133	449	0	0	15	24	4	0	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	2
X157616	8	102	461	0	0	2	14	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
X49583	6	178	945	0	0	5	10	4	0	0	1	0	0	0	1	0	0	0	0	4	1	0	0	0	0	2
X11448	6	171	9	0	0	2	976	6	2	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0
X277895	0	11	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X147604	44	3375	16	0	1	80	148	53	1	2	2	4	43	65	40	0	0	0	0	1	2	0	0	1	11	0
X76142	5	38	7	0	0	5	7	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0
X257316	11	43	232	0	0	0	29	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
X248323	11	137	117	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X563670	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X559986	0	27	151	0	0	0	8	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
X83082	14	499	158	0	0	0	1	2	0	0	0	2	97	116	122	2	0	0	0	1	0	0	1	0	1	1
X237583	4	7	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X146122	38	404	328	0	1	7	29	43	0	0	2	0	31	22	20	0	0	0	0	0	0	0	0	1	2	0
X550173	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
X373239	0	436	19	0	0	9	0	3	0	0	2	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0
X99702	4	79	10	0	0	4	0	1	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
X366196	2	129	16	0	0	0	24	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X543710	0	5	3	0	0	6	19	1	1	0	17	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X153548	30	701	928	0	0	1	2	4	0	1	0	2	45	139	72	0	0	0	0	2	0	0	1	0	1	1
X213535	0	8	6	0	0	1	0	3	0	0	0	0	4	13	3	0	0	0	0	1	0	0	0	0	0	0
X24568	10	59	155	0	0	0	28	1	0	0	8	0	3	7	1	0	0	0	0	0	0	0	0	0	2	1
X242751	2	5	22	0	0	21	88	22	0	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0
X269218	2	338	48	0	0	3	59	1	0	0	13	2	6	19	4	0	0	0	0	1	0	0	0	1	2	0
X158679	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X140652	2	7	12	0	0	1	7	0	0	0	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
X12690	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X190663	0	310	92	0	1	10	24	8	3	19	907	12	91	404	236	2	5	2	1	2	1	0	1	1	2	4
X576231	46	262	36	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	1	1
X165578	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X86480	0	1	3	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X112349	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X86523	0	1	0	0	0	0	0	0	0	0	24	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
X255647	0	4	1	0	0	0	5	0	0	0	10	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0
X386689	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X571410	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X242450	4	47	106	0	0	12	36	23	3	2	118	18	7	66	91	23	87	52	4	3	2	1	0	0	0	1
X578832	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X80600	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X546690	8	47	30	0	0	27	63	2	0	0	54	9	3	2	0	0	1	0	0	0	0	0	0	0	0	0
X310485	0	1	1	0	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X12296	0	2	1	0	0	4	51	0	25	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X148208	0	1	9	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X212534	0	11	1	0	0	0	0	0	2	0	37	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
X73379	0	8	12	0	0	1	4	1	0	1	9	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0
X249009	1	1	3	0	0	3	4	1	0	0	5	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
X260637	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X527048	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X12163	3	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X146166	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X207157	0	5	7	0	0	6	10	0	0	9	796	4	4	3	4	1	0	0	0	0	0	0	0	0	0	0
X277710	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X510745	0	1	18	0	0	4	0	0	0	0	17	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0
X149066	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X592423	0	0	4	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X435928	0	2	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
X230342	0	0	0	0	0	0	0	0	0	1	164	0	0	0	0	2	3	1	0	0	0	0	0	0	0	1
X229136	0	1	3	0	1	1	0	1	1	39	3862	454	5	4	11	0	0	0	2	1	0	1	0	0	1	0
X348002	0	2	1	0	0	0	1	0	0	0	41	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0
X307298	0	9	22	0	5	1	2	4	40	439	37494	3	3	5	41	5	10	5	18	0	1	1	1	3	2	17
X269755	1	14	2	0	3	0	3	0	4	94	6205	36	3	2	9	8	29	16	3	0	0	0	1	1	0	4
X311254	0	4	1	0	0	1	2	0	0	4	223	3	0	1	0	0	3	0	0	0	0	0	0	0	0	0
X542975	0	9	21	1	2	1	0	1	14	290	23940	4	1	3	27	3	5	4	7	2	1	1	2	1	2	13
X240200	0	1	4	0	3	0	0	0	8	101	9210	1164	16	5	20	4	396	14	0	5	0	1	1	3	4	6
X240435	5	6	14	0	3	0	5	2	11	26	1301	68	8	10	8	571	912	653	2	0	1	0	0	4	2	1
X161643	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	10	32	8	0	0	0	0	0	0	0	0
X139659	0	0	0	0	0	0	0	0	0	1	14	1	0	0	0	0	7	1	0	0	0	0	0	0	0	0
X62712	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0
X263950	4	44	40	2	3	14	18	5	0	41	2707	33	11	21	18	4	22	6	1	2	0	0	0	1	0	3
X144921	0	1	5	0	0	0	2	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X398836	1	0	2	0	2	0	3	0	3	46	3672	413	6	7	10	138	753	372	2	0	0	0	0	0	0	3
X59851	0	4	7	0	0	0	3	0	0	0	18	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0
X143961	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X21685	0	3	1	0	0	0	0	0	1	4	75	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X558949	1	5	224	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
X237108	3	83	116	0	0	0	49	5	0	0	7	4	2	1	0	0	0	0	0	5	1	0	0	1	0	0
X538790	13	78	50	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X152865	1	2	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X204293	0	1	2	0	0	1	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X529444	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X37441	0	3	26	0	0	1	1	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X205559	0	11	9	0	0	0	11	3	0	0	10	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
X271258	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X177797	8	82	138	0	0	34	52	26	1	0	151	30	40	43	57	0	0	0	0	1	3	0	0	1	1	0
X223883	0	0	1	0	0	1	0	1	0	0	32	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0
X132604	0	3	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X161253	1	3	0	0	0	0	4	0	0	0	15	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
X217525	5	122	1	0	0	0	1	0	0	0	33	6	0	1	1	0	0	0	0	0	0	0	0	0	0	1
X320871	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X140315	1	8	112	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
X114159	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X154499	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X103201	10	33	9	0	0	19	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X142011	14	65	40	0	0	0	2	0	0	1	6	0	0	1	0	5	19	17	0	0	0	0	0	0	0	0
X363337	0	1	3	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
X94370	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X250101	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X273465	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X323846	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X264698	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X172749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X286647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X272308	2	3	23	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X349277	0	4	0	0	0	26	5	2	0	0	2	1	2	4	1	0	0	0	0	0	0	0	0	0	0	0
X348790	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X144540	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X292764	21	115	6	0	0	9	48	4	0	6	387	47	1	0	0	0	0	0	0	1	0	0	0	0	0	0
X178912	3	23	1	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X556676	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
X210760	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X231011	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X104480	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
X557633	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X111201	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X263590	0	1	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X152720	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X12220	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X540933	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X587696	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X215095	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X139828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
X302479	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
X130665	1	3	48	0	0	1	1	0	1	0	27	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1
X101628	0	1	8	0	0	1	0	0	1	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X362552	9	158	230	0	1	87	148	36	1	1	125	97	70	118	112	0	4	0	0	8	2	0	0	0	0	2
X421948	1	1	6	0	0	0	1	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X12283	0	3	0	0	0	0	0	0	0	0	29	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
X350174	12	3	18	0	0	1	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
X138999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X176072	1	1	33	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0
X266945	0	2	5	0	0	1	0	2	0	0	5	0	3	0	2	0	0	0	0	0	0	1	0	0	0	1
X12168	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X394964	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X310647	1	14	3	0	0	0	0	0	0	0	20	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0
X577125	0	2	28	0	0	0	0	1	0	0	10	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0
X59853	0	5	0	0	0	3	70	0	0	0	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X94524	0	0	2	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X79881	0	26	59	0	0	5	13	4	0	0	33	0	1	1	6	0	0	0	0	0	0	0	0	1	0	0
X19936	1	2	2	0	0	56	17	7	0	0	141	17	3	1	0	0	0	0	0	0	0	0	0	0	0	1
X146114	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X100011	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X112266	7	18	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X99149	3	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
X82683	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
X174021	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
X587989	0	1	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X83306	0	17	155	0	0	14	28	25	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X249999	0	32	7	0	0	4	24	15	0	0	9	0	0	1	7	3	0	2	0	1	0	0	0	0	0	0
X197711	0	1	10	0	0	0	0	0	0	0	32	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0
X226363	3	38	60	0	0	18	26	6	0	31	1718	17	10	29	25	0	0	0	0	0	0	0	0	0	1	2
X50557	0	31	3	0	0	1	1	2	0	0	4	1	2	9	7	2	2	1	0	0	0	0	0	0	1	0
X279373	3	41	2	0	0	1	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X354551	389	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
X131209	2	6	5	0	0	14	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X206162	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X225374	0	0	3	0	0	0	0	0	0	0	17	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X105783	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X25558	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X218035	69	452	29	0	0	75	242	39	2	1	5	8	4	3	2	0	0	0	0	1	1	0	0	0	1	0
X153872	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X236702	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X130238	0	13	2	0	0	1	2	0	0	3	206	1	1	2	3	0	1	0	0	0	0	0	0	0	0	0
